OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_NAME,National_Park,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018
123,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Skeena,Upper Nechako,,Y,Y,1453.405961,1202.0614,6,6,4.991425514,4.991425514
124,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,Cariboo,Cariboo,,Y,Y,684.3700359,679.1652573,6,6,8.834374428,8.834374428
125,807,16,Wells Gray,Wells \Gray,Viable,Y,Cariboo,Quesnel Highland,,N,N,2053.328989,2017.526502,58,58,28.74807358,28.74807358
126,807,16,Wells Gray,Wells \Gray,Viable,Y,Cariboo,Cariboo,,Y,Y,255.2106631,245.2432971,4,4,16.31033325,16.31033325
127,811,20,Kwatna-Owikeno,Kwatna-\Owikeno,Viable,Y,Cariboo,Central Coast,,N,N,4649.400525,3488.727165,91,91,26.08401108,26.08401108
128,813,36,South Chilcotin Ranges,South \Chilcotin \Ranges,Threatened,Y,Thompson,West Fraser,,Y,Y,3833.631493,3742.984925,36,39,9.617992401,10.41949177
129,820,37,Toba-Bute,Toba-\Bute,Viable,Y,Lower Mainland,South Coast,,Y,Y,3155.0937,2155.205029,51,57,23.66364098,26.44759941
130,820,37,Toba-Bute,Toba-\Bute,Viable,Y,Lower Mainland,South Coast,,Y,Y,2779.476125,2167.875041,49,55,22.60277939,25.37046623
131,820,37,Toba-Bute,Toba-\Bute,Viable,Y,Lower Mainland,South Coast,,Y,Y,154.9974358,131.5406527,1,1,7.602212429,7.602212429
132,824,39,Squamish-Lillooet,Squamish-\Lillooet,Threatened,Y,Lower Mainland,South Coast,,Y,Y,1844.211241,1662.166092,15,12,9.02436924,7.219495296
133,824,39,Squamish-Lillooet,Squamish-\Lillooet,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,1241.311457,1032.188013,14,11,13.5634203,10.65697289
134,835,32,Knight-Bute,Knight-\Bute,Viable,Y,Lower Mainland,South Coast,,Y,Y,1217.9152,1004.738582,46,46,45.78305435,45.78305435
135,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,1324.133648,1312.221467,5,5,3.810332537,3.810332537
136,778,73,Cassiar,Cassiar,Viable,Y,Skeena,Atlin,,N,N,10410.88823,10043.18512,181,181,18.02217102,18.02217102
137,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Mcleod Lake,,N,N,456.4489289,455.7303828,22,22,48.27415848,48.27415848
138,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Mcleod Lake,,N,N,460.615751,450.7752846,20,20,44.36800385,44.36800385
139,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Mcleod Lake,,N,N,1038.943453,1036.054356,51,51,49.22521591,49.22521591
140,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Mcleod Lake,,N,N,1176.887305,1173.245981,57,57,48.58316422,48.58316422
141,795,7,Parsnip,Parsnip,Viable,Y,Omineca,Mcleod Lake,,N,N,1212.443995,1208.876628,60,60,49.63285446,49.63285446
142,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,651.1221705,625.7578703,11,11,17.57868385,17.57868385
143,798,64,Nation,Nation,Viable,Y,Omineca,Mcleod Lake,,N,N,2678.228002,2645.940555,45,45,17.00718498,17.00718498
144,836,6,Hart,Hart,Viable,Y,Omineca,South Peace,,N,N,4160.692933,4157.733447,68,68,16.35506439,16.35506439
145,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,Cariboo,Quesnel Highland,,N,N,2776.658229,2350.030597,69,69,29.3613205,29.3613205
146,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,Cariboo,Quesnel Highland,,N,N,3101.143333,3088.78362,46,46,14.89259434,14.89259434
147,810,21,Klinaklini-Homathko,Klinaklini-\Homathko,Viable,Y,Cariboo,South Chilcotin,,Y,N,6712.807581,5858.204297,79,79,13.4853611,13.4853611
148,785,56,Spatsizi,Spatsizi,Viable,Y,Skeena,Stikine,,N,N,5743.022438,5707.437172,177,177,31.01216698,31.01216698
149,785,56,Spatsizi,Spatsizi,Viable,Y,Skeena,Stikine,,N,N,1835.160081,1802.255869,57,57,31.62702942,31.62702942
